City,latitude,longitude,area_km2,record_date.YYYYMMDD
London,51.507351,-0.127758,2.9,20200109
New_York,40.712775,-74.005973,783.8,20200109
Tokyo,35.676192,139.650311,2188,20200109
Paris,48.856614,2.352222,105.4,20200109
Singapore,1.352083,103.819836,721.5,20200109
Amsterdam,52.366697,4.89454,219.3,20200109
Seoul,37.566535,126.977969,605.2,20200109
Berlin,52.520007,13.404954,891.8,20200109
Hong_Kong,22.319304,114.169361,1106,20200109
Sydney,-33.86882,151.209295,12368,20200109
Melbourne,-37.813628,144.963058,9990,20200109
Los_Angeles,34.052234,-118.243685,1302,20200109
Madrid,40.416775,-3.70379,604.3,20200109
Stockholm,59.329324,18.068581,188,20200109
Zurich,47.376887,8.541694,87.88,20200109
Toronto,43.653226,-79.383184,630.2,20200109
Frankfurt,50.110922,8.682127,248.3,20200109
San_Francisco,37.774929,-112.419415,121.4,20200109
Dubai,25.204849,55.270783,4114,20200109
Copenhagen,55.676097,12.568337,88.25,20200109
Vienna,48.208174,16.373819,414.6,20200109
Barcelona,41.385064,2.173404,101.9,20200109
Vancouver,49.282729,-123.120738,115,20200109
Beijing,39.9042,116.407396,16808,20200109
Boston,42.360082,-71.05888,232.1,20200109
Chicago,41.878114,-87.629798,606.1,20200109
Brussels,50.85034,4.35171,32.61,20200109
Helsinki,60.169856,24.938379,213.8,20200109
Osaka,34.693725,135.502253,223,20200109
Shanghai,31.230416,121.473701,6340,20200109
Washington_DC,38.907192,-77.036871,177,20200109
Moscow,55.755826,37.6173,2511,20200109
Dublin,53.349805,-6.26031,115,20200109
Geneva,46.204391,6.143158,15.93,20200109
Kuala_Lumpur,3.139003,101.686855,243,20200109
Milan,45.464204,9.189982,181.8,20200109
Istanbul,41.008238,28.978359,5461,20200109
Tel_Aviv,32.0853,34.781768,52,20200109
Taipei,25.032969,121.565418,271.8,20200109
Bangkok,13.756331,100.501765,1569,20200109
Buenos_Aires,-34.603684,-58.381559,203,20200109
Fukuoka,33.590184,130.401689,343.39,20200109
Sao_Paulo,-23.87325,-47.256292,1521,20200109
Mexico_City,19.265677,-99.443666,1485,20200109
Jakarta,-6.384329,106.534792,661.5,20200109
Cairo,30.006199,31.158148,3085,20200109
Johannesburg,-26.283259,27.891902,1645,20200109
Mumbai,18.908744,72.567283,603.4,20200109