src_id,lon,lat,alt.m
163,-2.13796,57.1287,52
150,-2.83948,57.076,140
55827,-3.39576,57.0108,327
145,-3.41952,56.8792,928
160,-2.21323,57.1868,102
161,-2.2037,57.2051,65
16581,-2.12106,57.698,4
181,-3.07182,56.457,31
1450,-6.22436,54.6636,63
1467,-6.15336,55.1806,156
19162,-5.9417,54.5706,31
1448,-6.45686,54.8653,64
918,-5.43859,56.4505,3
23417,-6.24866,55.6813,17
908,-5.69571,55.4408,10
18974,-6.8796,56.5,9
1534,-6.50256,54.2371,161
62122,-2.558,51.5509,75
675,-2.59875,51.4522,42
676,-2.57577,51.5214,59
1005,-4.56384,55.477,48
1007,-4.58343,55.5153,27
461,-0.46376,52.2265,85
465,-0.4215,52.104,29
458,-0.59457,52.014,89
838,-0.784,51.3898,74
56214,-0.66392,51.4927,20
836,-0.81321,51.5385,43
831,-0.95154,51.4175,77
268,-2.3833,55.7086,112
17176,-0.80528,51.6813,204
24943,-0.75905,52.0433,128
32,-3.0884,58.4541,36
18993,0.11926,52.2053,28
455,0.10196,52.245,26
17278,-0.27597,52.3178,52
456,-0.23532,52.4012,41
583,-0.46632,52.6115,74
1132,-2.52463,53.0859,40
57199,-2.38053,53.3598,35
55511,-2.15313,53.3388,88
17344,-0.86188,54.5627,158
17345,-1.21811,54.5249,54
25351,-1.21885,54.5672,50
1144,-2.98499,53.1752,11
1137,-3.50754,53.259,77
1395,-5.32656,50.2178,87
1415,-4.66579,50.5016,200
1393,-5.25609,50.0838,76
57250,-5.19827,50.0354,90
1070,-2.96223,54.9342,28
1085,-2.44986,54.6839,847
1060,-3.15525,54.6139,81
1086,-2.37546,54.6895,556
1073,-2.78644,54.6699,169
62034,-3.02315,54.2363,6
1083,-2.68347,54.502,252
1076,-2.55297,55.0501,285
1055,-3.61345,54.5177,124
1078,-3.25657,54.1247,15
1074,-2.41172,54.5723,227
542,-1.6396,52.7367,85
61973,-1.73432,53.2614,340
1367,-3.48284,50.3989,58
1346,-4.14743,51.0886,6
1383,-3.2389,50.8597,252
1378,-3.41566,50.7301,27
62041,-3.40458,50.7366,27
1352,-3.90277,50.7682,177
1336,-4.11986,50.3544,50
842,-1.83483,50.7789,10
1319,-2.45431,50.5216,52
1517,-5.65603,54.5721,6
1523,-5.74742,54.6686,43
1490,-6.09725,54.4851,38
1504,-6.11019,54.2966,91
1488,-6.18303,54.0767,4
1502,-5.83066,54.245,12
1529,-5.58298,54.6736,35
17097,-6.25007,53.433,85
1023,-3.20545,55.3118,236
326,-1.58455,54.7679,102
1198,-4.56999,52.1391,133
1205,-4.01929,52.4319,31
1215,-5.05229,51.7084,44
1226,-4.36632,51.714,3
1209,-3.94683,52.3439,63
1223,-4.67792,51.9883,129
811,0.31818,50.8904,52
19188,0.45225,51.8957,87
447,0.87479,51.9356,50
498,0.82872,51.5542,2
487,0.43079,51.733,32
30437,-7.57431,54.1508,70
1568,-7.64412,54.3955,47
57063,-7.59413,54.3295,72
235,-2.86051,56.3774,10
236,-2.85803,56.4386,4
18921,-2.16713,51.8915,25
692,-1.69148,51.8603,210
25049,-0.02139,51.4739,5
717,-0.03602,51.636,51
708,-0.44904,51.4787,25
56286,-0.44909,51.4787,25
726,-0.08994,51.3035,170
721,-0.31397,51.4677,5
723,-0.29276,51.4813,6
56472,-0.01739,51.5419,21
56471,-0.014,51.5363,15
697,-0.12948,51.5042,5
19144,-0.11088,51.521,43
709,-0.41534,51.5481,33
24946,-0.08006,51.4829,42
25061,-2.39104,53.5596,126
25062,-2.31998,53.5464,135
24939,-2.55504,53.5158,40
18904,-2.25008,53.4665,33
1135,-2.27949,53.3559,69
1125,-2.17709,53.6085,110
1161,-4.74026,52.7886,95
1180,-3.58303,52.9073,163
1171,-3.94016,53.0939,216
1145,-4.53524,53.2524,10
868,-0.84866,51.1777,115
846,-1.57365,50.7416,16
56962,-1.16679,50.8358,1
61846,-1.91645,50.9684,79
847,-1.56851,51.1493,90
57247,-1.39747,50.7762,5
862,-0.94346,51.2385,118
61847,-1.08054,50.9823,197
858,-1.20942,50.8075,9
25727,-1.39361,50.8918,26
869,-0.77107,51.2794,65
861,-1.09623,50.7874,2
24996,-2.80102,52.0796,76
657,-2.03979,52.148,35
673,-2.63674,52.1242,84
671,-2.58441,51.9108,67
669,-2.8845,52.2426,99
471,-0.35858,51.8062,128
373,-0.17413,54.0938,15
399,-0.02853,53.5494,7
370,-0.44009,53.8744,7
103,-4.96787,56.8223,1130
113,-3.82693,57.2065,228
30103,-3.82612,57.2064,228
117,-3.64165,57.1164,1237
105,-4.7067,56.8667,249
17224,-1.58206,50.6623,80
876,-1.29549,50.5751,20
24937,1.1329,51.0826,60
770,1.31559,51.1207,6
744,0.45006,51.287,33
16588,0.31301,51.464,3
765,1.1369,51.3579,40
743,1.34502,51.133,117
775,1.33716,51.346,49
25729,1.34951,51.3518,44
177,-2.26435,56.8521,134
1033,-4.00663,54.8033,113
1035,-3.94844,54.9257,73
987,-3.73481,55.6271,245
982,-3.87409,55.8615,277
1096,-2.91475,53.5496,54
1090,-3.03647,53.7746,10
1105,-2.77371,54.0138,95
61937,-2.36708,54.1796,376
1112,-2.76541,53.8536,14
17346,-2.6963,53.7596,47
1115,-2.51414,53.6257,440
576,-0.65439,52.727,136
24942,-1.12095,52.623,80
18995,-1.28383,52.7814,55
393,-0.17119,53.0935,6
386,-0.50194,53.0309,63
405,0.1546,53.4745,8
395,0.14021,52.8729,3
381,-0.54649,53.3066,57
384,-0.52173,53.1751,68
16725,0.27265,53.088,3
1429,-7.00725,55.0573,4
56963,-6.94835,55.1604,6
17309,-3.0563,53.497,9
25046,-2.97502,53.4134,43
16632,-3.0102,53.5012,23
19260,-3.34294,55.9284,57
253,-3.20598,55.9665,23
132,-3.56202,57.6457,5
137,-3.32186,57.7115,7
61915,1.45667,52.6963,5
429,1.35321,52.7563,17
16630,0.40456,52.6081,3
61843,0.49127,52.8337,23
433,1.68908,52.6857,13
25728,1.68908,52.6857,14
409,0.56772,52.651,21
4911,1.28133,52.6781,32
61986,1.16399,52.4562,52
421,1.12413,52.949,21
24947,-0.97149,52.1272,95
30523,-1.88012,55.0197,142
315,-1.59966,55.4208,23
57254,-2.50409,55.302,450
16589,-2.2779,55.285,211
535,-1.14671,53.8275,6
533,-1.1973,53.8356,8
342,-1.41293,54.1346,33
358,-0.66999,54.3586,262
17314,-1.53145,54.2968,33
346,-1.24956,54.045,14
16596,-1.38856,54.2045,25
19204,-0.88265,53.4059,68
556,-1.24969,53.0053,117
554,-1.24961,52.8361,43
613,-1.09712,51.6199,57
605,-1.57649,51.758,82
607,-1.40465,51.9977,105
825,-1.11173,51.6026,47
17336,-4.31873,56.4235,564
212,-3.72734,56.3265,35
1190,-3.46411,52.757,360
1238,-3.45029,52.2153,196
16611,-3.61341,52.0629,307
24125,-4.53122,55.9068,59
52,-5.63159,57.8592,11
30270,-5.68744,57.4181,773
66,-5.30503,57.613,25
67,-4.89419,57.7251,269
79,-3.96524,57.8191,4
651,-2.42631,52.7774,66
643,-2.66329,52.7943,72
61949,-2.75489,52.9252,89
1285,-3.60775,51.0864,348
1302,-2.64148,51.0059,20
1272,-3.18728,51.4878,9
19206,-3.43952,51.405,49
562,-1.00682,53.4824,10
18905,-1.33739,53.4497,31
526,-1.48728,53.383,146
622,-2.2688,52.9986,179
25054,-2.27272,53.0008,202
30690,-1.97993,53.1275,298
61948,-2.24066,52.7128,102
435,0.56723,52.2601,75
413,0.6729,52.4588,6
440,0.9591,52.1234,89
30620,-0.22786,51.1435,67
719,-0.47478,51.3103,38
62139,-0.47392,51.3098,38
44,-4.44101,58.2881,81
40,-4.72596,58.1683,99
48,-3.92063,58.2306,103
307,-1.59687,54.9771,52
332,-1.39328,54.9034,70
1543,-7.57668,54.707,49
595,-1.32987,52.3584,107
19187,-1.68925,52.4798,96
596,-1.60345,52.2054,47
1255,-3.98056,51.5651,43
24945,-3.80001,51.583,30
24102,-1.53498,52.4241,119
587,-1.93374,52.4751,160
18994,-1.9853,52.388,195
56424,-1.92619,52.456,140
586,-1.92295,52.4541,130
24948,-2.12842,52.5857,156
724,-0.20951,51.0821,144
795,-0.29194,50.8356,2
779,-0.92098,50.8142,4
513,-1.86526,53.811,262
516,-1.77234,53.8134,134
534,-1.31722,53.8687,54
24940,-1.78367,53.6437,110
523,-1.55965,53.8004,64
1039,-4.93414,54.859,11
889,-1.75317,51.1613,126
888,-1.80443,51.2012,132
886,-1.99094,51.5028,145
61844,-2.3476,52.3842,58
23,-2.89988,58.9539,26
12,-0.85365,60.7489,15
3,-1.62777,59.5265,57
9,-1.18299,60.1395,82
19211,-6.89629,57.7803,13
19172,-5.80418,57.2572,18
18903,-7.38385,57.3578,4
54,-6.31772,58.2138,15
1588,32.983,34.583,26
1049,-4.36788,54.4146,9
1046,-4.6307,54.0851,16
1386,-6.29488,49.914,31
1575,-2.196,49.208,84
1600,73.15,0.683,2
1586,14.483,35.85,74
19018,-33,62,0
19019,-19,59,0
19020,-20,52.5,0
19021,-16,45,0
19022,-20,57,0
1615,-64.267,-65.25,9
1595,50.617,26.267,2
1582,6.133,51.2,74
1580,8.3,51.93,70
1592,45.033,12.833,3
